,Country ISO3,Country Name,Indicator,Subindicator Type,Year,value,Dataset,Lneding group,Region
19,AFG,Afghanistan,Rule of Law,Estimate,1996,-1.79,WDI,IDA,South Asia
35,AGO,Angola,Rule of Law,Estimate,1996,-1.63,WDI,IBRD,Sub-Saharan Africa
54,ALB,Albania,Rule of Law,Estimate,1996,-0.68,WDI,IBRD,Europe & Central Asia
57,AND,Andorra,Rule of Law,Estimate,1996,1.16,WDI,..,Europe & Central Asia
71,ARE,United Arab Emirates,Rule of Law,Estimate,1996,0.69,WDI,..,Middle East & North Africa
91,ARG,Argentina,Rule of Law,Estimate,1996,0.08,WDI,IBRD,Latin America & Caribbean
107,ARM,Armenia,Rule of Law,Estimate,1996,-0.47,WDI,IBRD,Europe & Central Asia
126,ATG,Antigua and Barbuda,Rule of Law,Estimate,1996,1.05,WDI,IBRD,Latin America & Caribbean
142,AUS,Australia,Rule of Law,Estimate,1996,1.71,WDI,..,East Asia & Pacific
158,AUT,Austria,Rule of Law,Estimate,1996,1.81,WDI,..,Europe & Central Asia
174,AZE,Azerbaijan,Rule of Law,Estimate,1996,-1.2,WDI,IBRD,Europe & Central Asia
189,BDI,Burundi,Rule of Law,Estimate,1996,-1.42,WDI,IDA,Sub-Saharan Africa
204,BEL,Belgium,Rule of Law,Estimate,1996,1.37,WDI,..,Europe & Central Asia
220,BEN,Benin,Rule of Law,Estimate,1996,0.05,WDI,IDA,Sub-Saharan Africa
239,BFA,Burkina Faso,Rule of Law,Estimate,1996,-0.93,WDI,IDA,Sub-Saharan Africa
258,BGD,Bangladesh,Rule of Law,Estimate,1996,-0.93,WDI,IDA,South Asia
278,BGR,Bulgaria,Rule of Law,Estimate,1996,-0.34,WDI,IBRD,Europe & Central Asia
290,BHR,Bahrain,Rule of Law,Estimate,1996,-0.01,WDI,..,Middle East & North Africa
309,BHS,"Bahamas, The",Rule of Law,Estimate,1996,1.15,WDI,..,Latin America & Caribbean
329,BIH,Bosnia and Herzegovina,Rule of Law,Estimate,1996,-0.24,WDI,IBRD,Europe & Central Asia
349,BLR,Belarus,Rule of Law,Estimate,1996,-0.8,WDI,IBRD,Europe & Central Asia
369,BLZ,Belize,Rule of Law,Estimate,1996,0.08,WDI,IBRD,Latin America & Caribbean
372,BMU,Bermuda,Rule of Law,Estimate,1996,1.21,WDI,..,North America
390,BOL,Bolivia,Rule of Law,Estimate,1996,-0.26,WDI,IBRD,Latin America & Caribbean
409,BRA,Brazil,Rule of Law,Estimate,1996,-0.22,WDI,IBRD,Latin America & Caribbean
