ISO3,Country,Year,A200 Domestic public security,A2011 Control over the police,A2041 Violent activities: criminal organisations,A305 Functioning of the justice system,A600 Security of property rights,A601 Security of private contracts,A602 Trade justice,A604 Termination of contracts by the State,B607 Efficiency of land tenure policies,B608 Land tenure insecurity
AFG,Afghanistan,2016,1.00,2,1,1.40,,3.00,2.50,0.50,1.50,3.50
ZAF,South Africa,2016,2.50,3,3,3.20,2.75,4.00,3.50,1.00,2.50,1.50
ALB,Albania,2016,3.00,3,2,2.00,1.75,1.00,1.25,3.00,2.50,2.00
DEU,Germany,2016,4.00,4,0,3.80,3.00,4.00,4.00,1.00,2.00,4.00
DZA,Algeria,2016,3.00,3,3,1.60,2.25,2.00,1.50,1.00,2.00,1.50
AGO,Angola,2016,3.00,4,2,1.80,2.00,1.50,0.75,2.00,1.50,1.25
SAU,Saudi Arabia,2016,4.00,4,4,2.00,1.75,2.50,2.00,2.50,0.50,1.50
ARG,Argentina,2016,2.50,2,2,2.60,1.75,1.50,1.75,1.50,3.00,1.50
ARM,Armenia,2016,3.50,4,2,1.40,3.00,2.50,1.75,1.00,1.00,3.25
AUS,Australia,2016,4.00,4,3,3.80,3.25,3.50,4.00,0.00,3.00,3.50
AUT,Austria,2016,4.00,4,4,3.60,,4.00,3.75,0.00,,3.50
AZE,Azerbaijan,2016,3.50,3,4,2.00,2.75,3.00,1.25,2.00,1.00,1.25
BHR,Bahrain,2016,3.50,4,2,2.60,2.50,4.00,1.25,2.00,1.50,3.50
BGD,Bangladesh,2016,2.50,4,3,1.80,2.75,2.00,1.50,1.00,2.00,1.50
BLR,Belarus,2016,3.50,4,2,2.60,2.25,2.00,2.50,2.00,2.00,2.00
BEL,Belgium,2016,4.00,4,4,3.40,2.50,4.00,3.75,0.00,3.00,2.75
BEN,Benin,2016,2.50,3,3,1.60,2.50,2.00,1.00,2.50,1.00,1.25
MMR,Myanmar,2016,3.00,2,2,2.40,,2.50,,1.50,2.50,0.75
BOL,Bolivia,2016,3.00,3,2,1.40,2.50,2.00,1.75,1.00,3.00,2.00
BIH,Bosnia and Herzegovina,2016,3.50,3,3,3.00,2.50,3.00,3.25,1.00,1.50,3.50
BRA,Brazil,2016,0.50,1,1,3.00,2.75,2.50,3.25,1.50,2.50,1.00
BRN,Brunei,2016,3.50,4,3,1.80,1.75,2.00,1.25,0.00,1.50,3.75
BGR,Bulgaria,2016,3.50,3,3,2.00,,2.50,1.75,3.00,2.50,2.75
BFA,Burkina Faso,2016,2.50,3,2,2.00,2.00,2.00,2.50,1.00,2.00,1.25
BDI,Burundi,2016,1.50,3,3,0.40,1.75,1.00,0.25,3.00,0.00,1.00
KHM,Cambodia,2016,2.50,2,3,1.20,1.75,2.50,1.00,1.50,1.50,1.75
CMR,Cameroon,2016,3.00,3,2,1.00,,1.00,1.00,2.00,1.50,1.00
CAN,Canada,2016,4.00,4,4,4.00,3.00,4.00,3.75,0.00,3.50,4.00
CAF,Central African Republic,2016,0.50,1,1,0.00,0.50,0.00,0.00,2.00,1.50,1.25
KM,Comoros,2016,3.00,3,3,1.40,2.00,1.00,1.75,1.00,1.50,1.25
CHL,Chile,2016,3.50,3,4,2.80,3.00,2.00,2.75,0.00,2.00,1.25
CHN,China,2016,3.00,4,3,1.60,2.00,1.00,0.50,3.00,1.50,1.00
COL,Colombia,2016,3.00,3,3,2.40,,4.00,2.75,0.00,2.00,1.50
COG,"Congo, Rep.",2016,3.00,3,3,1.20,2.25,1.50,1.50,2.50,2.50,1.50
KOR,"Korea, Rep.",2016,4.00,4,4,3.80,3.25,4.00,4.00,0.00,,3.25
CRI,Costa Rica,2016,3.50,4,3,3.40,,3.00,2.75,0.50,2.00,2.50
CIV,Cote d'Ivoire,2016,2.00,2,3,1.80,1.75,2.50,1.75,1.50,1.50,0.75
HRV,Croatia,2016,4.00,4,3,2.20,3.00,3.00,2.25,2.00,1.00,1.75
CUB,Cuba,2016,3.50,4,3,2.20,1.50,2.00,1.25,1.00,1.00,1.00
CYP,Cyprus,2016,3.00,2,3,3.80,2.50,2.50,3.25,1.50,2.00,2.75
DNK,Denmark,2016,4.00,4,4,3.80,3.00,4.00,3.75,0.00,1.50,3.25
DOM,Dominican Republic,2016,3.00,4,2,1.60,3.25,1.50,1.00,0.50,1.00,1.75
ECU,Ecuador,2016,2.50,3,2,2.00,2.75,2.00,1.00,2.00,2.00,1.25
EGY,"Egypt, Arab Rep.",2016,2.50,2,0,1.60,2.00,2.00,0.75,2.00,1.50,2.50
ARE,United Arab Emirates,2016,4.00,4,4,2.00,,3.00,2.25,1.50,1.00,1.25
ER,Eritrea,2016,1.50,3,4,0.40,1.75,1.00,0.25,3.00,0.00,1.00
ESP,Spain,2016,4.00,4,2,2.40,3.00,3.00,2.50,0.00,,2.50
EST,Estonia,2016,4.00,4,4,3.40,2.50,3.50,3.50,0.00,2.00,4.00
USA,United States,2016,4.00,4,3,3.80,,4.00,3.75,0.00,2.50,4.00
ETH,Ethiopia,2016,3.00,3,4,1.80,2.50,2.50,2.00,3.00,3.00,0.25
FIN,Finland,2016,4.00,4,4,3.60,,3.00,3.50,0.50,,4.00
FRA,France,2016,3.50,4,2,3.80,3.00,4.00,3.75,0.00,2.00,3.75
GAB,Gabon,2016,3.00,3,3,1.60,2.25,2.00,1.00,2.00,0.50,2.00
GEO,Georgia,2016,3.50,3,3,,2.50,2.50,2.75,1.00,2.00,2.75
GHA,Ghana,2016,4.00,4,3,3.20,,2.50,3.00,1.00,2.00,1.25
GRC,Greece,2016,3.50,4,3,1.80,2.00,1.00,0.50,2.00,1.00,2.25
GTM,Guatemala,2016,2.00,2,2,2.00,,2.50,1.25,1.50,1.50,1.50
GIN,Guinea,2016,1.50,1,1,2.00,2.50,2.00,2.75,1.00,0.50,1.25
